0_answers,0_clear_goals,0_course_name,0_course_rate,0_course_requirements,0_dept,0_feedback,0_hrs_week,0_level,0_num,0_prof_interest,0_respect,0_semester,0_semester_int,0_students,0_subject_importance,0_subject_matter,0_teaching_rate,0_year,1_answers,1_clear_goals,1_course_name,1_course_rate,1_course_requirements,1_dept,1_feedback,1_hrs_week,1_level,1_num,1_prof_interest,1_respect,1_semester,1_semester_int,1_students,1_subject_importance,1_subject_matter,1_teaching_rate,1_year,2_answers,2_clear_goals,2_course_name,2_course_rate,2_course_requirements,2_dept,2_feedback,2_hrs_week,2_level,2_num,2_prof_interest,2_respect,2_semester,2_semester_int,2_students,2_subject_importance,2_subject_matter,2_teaching_rate,2_year,3_answers,3_clear_goals,3_course_name,3_course_rate,3_course_requirements,3_dept,3_feedback,3_hrs_week,3_level,3_num,3_prof_interest,3_respect,3_semester,3_semester_int,3_students,3_subject_importance,3_subject_matter,3_teaching_rate,3_year,4_answers,4_clear_goals,4_course_name,4_course_rate,4_course_requirements,4_dept,4_feedback,4_hrs_week,4_level,4_num,4_prof_interest,4_respect,4_semester,4_semester_int,4_students,4_subject_importance,4_subject_matter,4_teaching_rate,4_year
2,4.5,PRGRMMING SCIENTISTS,5.0,5.0,CB,4.5,8.0,Undergraduate,02201,5.0,5.0,Spring,1,4,5.0,5.0,5.0,2017,4,4.25,PRGRMMING SCIENTISTS,3.75,4.5,CB,3.5,12.5,Undergraduate,02201,4.5,4.75,Fall,9,4,4.0,4.25,4.5,2016,4,4.25,PRGRMMING SCIENTISTS,4.5,4.5,CB,4.25,13.25,Undergraduate,02201,4.75,4.75,Spring,1,5,4.75,4.5,4.5,2016,5,4.2,PRGRMMING SCIENTISTS,4.6,4.2,CB,4.0,12.8,Undergraduate,02201,4.6,4.8,Fall,9,9,4.6,4.4,4.4,2015,12,4.25,PRGRMMING SCIENTISTS,3.25,3.67,CB,3.25,14.25,Undergraduate,02201,4.17,4.25,Fall,9,17,4.25,3.5,3.67,2014
19,3.844210526315789,INTRO COMPTNL BIOLGY,3.315263157894737,3.8394736842105264,CB,3.4715789473684215,9.440526315789475,Undergraduate,02250,3.8978947368421055,4.275263157894737,Spring,1,37,3.8415789473684208,3.366315789473685,3.4200000000000004,2017,17,3.238235294117647,INTRO COMPTNL BIOLGY,3.2441176470588236,3.411764705882353,CB,3.1205882352941177,11.123529411764705,Undergraduate,02250,3.9382352941176473,4.470588235294118,Spring,1,35,3.8617647058823534,3.179411764705882,3.361764705882353,2016,6,4.33,INTRO COMPTNL BIOLGY,4.165,4.165,CB,4.0,7.0,Undergraduate,02250,4.33,4.165,Spring,1,12,4.5,4.165,4.165,2015,6,4.165,INTRO COMPTNL BIOLGY,4.165,4.33,CB,3.8349999999999995,,Undergraduate,02250,4.335,4.5,Spring,1,22,4.165,4.33,4.165,2014,18,3.375,INTRO COMPTNL BIOLGY,3.165,3.5,CB,3.165,,Undergraduate,02250,3.7199999999999998,4.0,Spring,1,32,3.7200000000000006,3.3899999999999997,3.5,2013
2,3.5,COMPUTATNL GENOMICS,3.5,3.5,CB,3.0,11.0,Undergraduate,02510,4.5,4.5,Spring,1,5,4.5,4.5,4.5,2017,3,4.0,COMPUTATNL GENOMICS,3.67,4.0,CB,4.0,9.0,Undergraduate,02510,4.0,5.0,Fall,9,4,4.0,3.67,4.0,2016,2,2.0,COMPUTATNL GENOMICS,1.0,1.5,CB,1.0,12.5,Undergraduate,02510,1.5,2.0,Spring,1,4,1.5,1.5,1.5,2016,3,4.67,COMPUTATNL GENOMICS,4.0,3.67,CB,4.67,7.0,Undergraduate,02510,4.33,4.33,Spring,1,5,4.33,4.0,4.0,2015,2,4.0,COMPUTATNL GENOMICS,3.5,4.5,CB,2.0,,Undergraduate,02510,2.5,4.0,Spring,1,3,5.0,4.5,3.5,2013
4,2.25,COMPUTATNL GENOMICS,2.0,1.5,CB,2.0,5.0,Undergraduate,02510,3.0,4.0,Fall,9,7,2.25,1.5,1.75,2017,2,3.5,COMPUTATNL GENOMICS,3.5,3.5,CB,3.0,11.0,Undergraduate,02510,4.5,4.5,Spring,1,5,4.5,4.5,4.5,2017,3,4.0,COMPUTATNL GENOMICS,3.67,4.0,CB,4.0,9.0,Undergraduate,02510,4.0,5.0,Fall,9,4,4.0,3.67,4.0,2016,2,2.0,COMPUTATNL GENOMICS,1.0,1.5,CB,1.0,12.5,Undergraduate,02510,1.5,2.0,Spring,1,4,1.5,1.5,1.5,2016,3,4.67,COMPUTATNL GENOMICS,4.0,3.67,CB,4.67,7.0,Undergraduate,02510,4.33,4.33,Spring,1,5,4.33,4.0,4.0,2015
19,4.79,PRGRMMING SCIENTISTS,4.89,4.74,CB,4.63,13.89,Graduate,02601,4.89,4.84,Fall,9,26,4.89,5.0,4.95,2017,6,4.0,PRGRMMING SCIENTISTS,3.83,4.0,CB,3.67,12.5,Graduate,02601,3.83,4.0,Spring,1,7,3.83,4.0,3.83,2017,22,4.36,PRGRMMING SCIENTISTS,4.18,4.27,CB,3.77,12.859999999999998,Graduate,02601,4.14,4.18,Fall,9,23,4.32,4.5,4.27,2016,15,4.2,PRGRMMING SCIENTISTS,3.93,4.27,CB,3.93,14.2,Graduate,02601,4.27,4.67,Fall,9,24,4.14,4.2,3.93,2015,27,4.48,PRGRMMING SCIENTISTS,4.48,4.41,CB,4.33,12.0,Graduate,02601,4.52,4.809999999999999,Fall,9,39,4.63,4.41,4.37,2014
20,4.6,ALGR & ADV DTA STRC,3.95,4.15,CB,3.65,10.4,Graduate,02613,3.9,4.45,Fall,9,28,4.35,3.8,3.6,2017,5,4.0,ALGR & ADV DTA STRC,3.8,4.0,CB,3.8,12.8,Graduate,02613,4.0,4.4,Spring,1,6,4.0,3.8,3.8,2017,40,4.05,ALGR & ADV DTA STRC,3.5,3.95,CB,3.38,10.82,Graduate,02613,3.6700000000000004,4.38,Fall,9,42,3.8,3.5200000000000005,3.46,2016,45,4.56,ALGR & ADV DTA STRC,4.29,4.53,CB,4.27,12.6,Graduate,02613,4.4,4.62,Fall,9,69,4.33,4.36,4.24,2015,43,4.63,ALGR & ADV DTA STRC,4.56,4.58,CB,4.38,13.259999999999998,Graduate,02613,4.56,4.88,Fall,9,58,4.65,4.67,4.53,2014
20,4.5,NW TCHNLG FTR MRKTS,4.15,4.3,CB,4.35,6.95,Graduate,02651,4.5,4.5,Fall,9,27,4.25,4.35,4.16,2017,23,4.61,NW TCHNLG FTR MRKTS,4.43,4.57,CB,4.48,7.18,Graduate,02651,4.61,4.57,Fall,9,33,4.52,4.57,4.48,2016,23,4.83,NW TCHNLG FTR MRKTS,4.65,4.74,CB,4.83,8.09,Graduate,02651,4.87,4.91,Fall,9,31,4.87,4.7,4.78,2015,28,4.93,NW TCHNLG FTR MRKTS,4.93,4.89,CB,4.93,10.3,Graduate,02651,4.96,4.96,Fall,9,42,4.93,4.96,4.89,2014,22,4.27,NW TCHNLG FTR MRKTS,3.95,4.23,CB,4.14,,Graduate,02651,4.41,4.59,Fall,9,30,4.36,4.36,4.18,2013
22,3.64,BIOTCHNG ENTRP DEVLP,3.68,3.55,CB,3.5899999999999994,8.41,Graduate,02654,3.9100000000000006,3.9100000000000006,Fall,9,32,3.95,3.82,3.77,2017,15,3.07,BIOTCHNG ENTRP DEVLP,3.0,2.93,CB,3.07,7.86,Graduate,02654,3.33,3.47,Fall,9,31,3.2,3.2,2.8,2016,30,4.7,BIOTCHNG ENTRP DEVLP,4.6,4.73,CB,4.63,12.31,Graduate,02654,4.67,4.72,Fall,9,41,4.63,4.67,4.67,2015,11,4.27,BIOTCHNG ENTRP DEVLP,4.36,4.55,CB,4.45,10.0,Graduate,02654,4.36,4.27,Fall,9,14,4.36,4.27,4.45,2014,7,4.86,BIOTCHNG ENTRP DEVLP,4.86,4.43,CB,4.57,,Graduate,02654,4.57,4.71,Fall,9,16,4.57,4.71,4.57,2013
21,4.29,COMPUTATNL GENOMICS,3.57,4.14,CB,3.8999999999999995,11.81,Graduate,02710,4.33,4.67,Spring,1,31,4.57,4.29,4.24,2017,22,4.0,COMPUTATNL GENOMICS,3.64,4.0,CB,3.77,9.86,Graduate,02710,4.36,4.59,Spring,1,30,4.18,4.23,4.09,2016,9,3.67,COMPUTATNL GENOMICS,3.56,3.7799999999999994,CB,3.33,13.44,Graduate,02710,3.7799999999999994,3.7799999999999994,Spring,1,15,3.67,3.56,3.67,2015,2,3.5,COMPUTATNL GENOMICS,4.0,3.5,CB,4.0,,Graduate,02710,4.0,4.5,Spring,1,5,4.0,3.5,3.5,2014,5,4.0,COMPUTATNL GENOMICS,3.4,3.4,CB,3.0,,Graduate,02710,3.2,4.0,Spring,1,11,4.2,4.2,3.8,2013
1,5.0,CMPT MOLC BLG GENMC,5.0,5.0,CB,5.0,8.0,Graduate,02711,5.0,5.0,Fall,9,2,5.0,5.0,5.0,2017,6,5.0,CMPT MOLC BLG GENMC,4.5,5.0,CB,5.0,10.67,Graduate,02711,5.0,5.0,Fall,9,8,5.0,4.83,4.83,2016,11,4.82,CMPT MOLC BLG GENMC,4.55,4.82,CB,4.73,10.55,Graduate,02711,5.0,4.73,Fall,9,15,4.73,4.73,4.64,2015,11,4.82,CMPT MOLC BLG GENMC,4.55,4.82,CB,4.91,10.1,Graduate,02711,5.0,4.82,Fall,9,15,4.91,4.91,4.73,2014,9,4.67,CMPT MOLC BLG GENMC,4.44,4.67,CB,4.67,,Graduate,02711,5.0,4.89,Fall,9,12,4.67,5.0,5.0,2013
