0_answers,0_clear_goals,0_course_name,0_course_rate,0_course_requirements,0_dept,0_feedback,0_hrs_week,0_level,0_num,0_prof,0_prof_interest,0_respect,0_semester,0_students,0_subject_importance,0_subject_matter,0_teaching_rate,0_year,1_answers,1_clear_goals,1_course_name,1_course_rate,1_course_requirements,1_dept,1_feedback,1_hrs_week,1_level,1_num,1_prof,1_prof_interest,1_respect,1_semester,1_students,1_subject_importance,1_subject_matter,1_teaching_rate,1_year,2_answers,2_clear_goals,2_course_name,2_course_rate,2_course_requirements,2_dept,2_feedback,2_hrs_week,2_level,2_num,2_prof,2_prof_interest,2_respect,2_semester,2_students,2_subject_importance,2_subject_matter,2_teaching_rate,2_year
2,4.5,PRGRMMING SCIENTISTS,5.0,5.0,CB,4.5,8.0,Undergraduate,02201,"COMPEAU, PHILLIP",5.0,5.0,Spring,4,5.0,5.0,5.0,2017,4,4.25,PRGRMMING SCIENTISTS,4.5,4.5,CB,4.25,13.25,Undergraduate,02201,"COMPEAU, PHILLIP",4.75,4.75,Spring,5,4.75,4.5,4.5,2016,4,4.25,PRGRMMING SCIENTISTS,3.75,4.5,CB,3.5,12.5,Undergraduate,02201,"COMPEAU, PHILLIP",4.5,4.75,Fall,4,4.0,4.25,4.5,2016
4,2.25,COMPUTATNL GENOMICS,2.0,1.5,CB,2.0,5.0,Undergraduate,02510,"ILYIN, VALENTIN",3.0,4.0,Fall,7,2.25,1.5,1.75,2017,2,2.0,COMPUTATNL GENOMICS,1.0,1.5,CB,1.0,12.5,Undergraduate,02510,"KIM, SE YOUNG",1.5,2.0,Spring,4,1.5,1.5,1.5,2016,3,4.0,COMPUTATNL GENOMICS,3.67,4.0,CB,4.0,9.0,Undergraduate,02510,"ILYIN, VALENTIN",4.0,5.0,Fall,4,4.0,3.67,4.0,2016
1,5.0,COMP MEDICINE,5.0,5.0,CB,5.0,5.0,Undergraduate,02518,"LANGMEAD, CHRISTOPHER",5.0,5.0,Spring,2,5.0,5.0,5.0,2017,2,5.0,COMP MEDICINE,5.0,5.0,CB,5.0,9.5,Undergraduate,02518,"WU, WEI",5.0,5.0,Spring,3,5.0,5.0,5.0,2016,2,5.0,COMP MEDICINE,5.0,5.0,CB,5.0,9.5,Undergraduate,02518,"LANGMEAD, CHRISTOPHER",5.0,5.0,Spring,3,5.0,5.0,5.0,2016
19,4.79,PRGRMMING SCIENTISTS,4.89,4.74,CB,4.63,13.89,Graduate,02601,"COMPEAU, PHILLIP",4.89,4.84,Fall,26,4.89,5.0,4.95,2017,22,4.36,PRGRMMING SCIENTISTS,4.18,4.27,CB,3.77,12.859999999999998,Graduate,02601,"COMPEAU, PHILLIP",4.14,4.18,Fall,23,4.32,4.5,4.27,2016,15,4.2,PRGRMMING SCIENTISTS,3.93,4.27,CB,3.93,14.2,Graduate,02601,"COMPEAU, PHILLIP",4.27,4.67,Fall,24,4.14,4.2,3.93,2015
6,4.0,PRGRMMING SCIENTISTS,3.83,4.0,CB,3.67,12.5,Graduate,02601,"COMPEAU, PHILLIP",3.83,4.0,Spring,7,3.83,4.0,3.83,2017,19,4.79,PRGRMMING SCIENTISTS,4.89,4.74,CB,4.63,13.89,Graduate,02601,"COMPEAU, PHILLIP",4.89,4.84,Fall,26,4.89,5.0,4.95,2017,22,4.36,PRGRMMING SCIENTISTS,4.18,4.27,CB,3.77,12.859999999999998,Graduate,02601,"COMPEAU, PHILLIP",4.14,4.18,Fall,23,4.32,4.5,4.27,2016
20,4.5,NW TCHNLG FTR MRKTS,4.15,4.3,CB,4.35,6.95,Graduate,02651,"VU, DU (JOHN)",4.5,4.5,Fall,27,4.25,4.35,4.16,2017,23,4.61,NW TCHNLG FTR MRKTS,4.43,4.57,CB,4.48,7.18,Graduate,02651,"VU, DU (JOHN)",4.61,4.57,Fall,33,4.52,4.57,4.48,2016,23,4.83,NW TCHNLG FTR MRKTS,4.65,4.74,CB,4.83,8.09,Graduate,02651,"VU, DU (JOHN)",4.87,4.91,Fall,31,4.87,4.7,4.78,2015
22,3.64,BIOTCHNG ENTRP DEVLP,3.68,3.55,CB,3.5899999999999994,8.41,Graduate,02654,"VU, DU (JOHN)",3.9100000000000006,3.9100000000000006,Fall,32,3.95,3.82,3.77,2017,15,3.07,BIOTCHNG ENTRP DEVLP,3.0,2.93,CB,3.07,7.86,Graduate,02654,"VU, DU (JOHN)",3.33,3.47,Fall,31,3.2,3.2,2.8,2016,30,4.7,BIOTCHNG ENTRP DEVLP,4.6,4.73,CB,4.63,12.31,Graduate,02654,"VU, DU (JOHN)",4.67,4.72,Fall,41,4.63,4.67,4.67,2015
1,5.0,CMPT MOLC BLG GENMC,5.0,5.0,CB,5.0,8.0,Graduate,02711,"DURAND, M",5.0,5.0,Fall,2,5.0,5.0,5.0,2017,6,5.0,CMPT MOLC BLG GENMC,4.5,5.0,CB,5.0,10.67,Graduate,02711,"DURAND, M",5.0,5.0,Fall,8,5.0,4.83,4.83,2016,11,4.82,CMPT MOLC BLG GENMC,4.55,4.82,CB,4.73,10.55,Graduate,02711,"DURAND, M",5.0,4.73,Fall,15,4.73,4.73,4.64,2015
12,4.17,CMPL MTHD BIO MDL SM,3.75,4.42,CB,3.83,13.92,Graduate,02712,"SCHWARTZ, RUSSELL",4.08,4.75,Fall,17,3.92,4.17,3.92,2017,12,4.17,CMPL MTHD BIO MDL SM,4.0,4.25,CB,4.0,11.67,Graduate,02712,"SCHWARTZ, RUSSELL",4.17,4.42,Fall,19,4.0,3.83,4.17,2016,9,5.0,CMPL MTHD BIO MDL SM,4.78,4.89,CB,4.67,15.889999999999999,Graduate,02712,"SCHWARTZ, RUSSELL",4.78,4.89,Fall,15,5.0,4.89,4.78,2015
2,4.5,COM MEDICINE,4.0,5.0,CB,3.0,11.0,Graduate,02718,"LANGMEAD, CHRISTOPHER",5.0,5.0,Spring,6,5.0,4.0,4.0,2017,8,4.63,COM MEDICINE,4.43,4.71,CB,4.43,11.13,Graduate,02718,"WU, WEI",4.71,4.86,Spring,12,4.43,4.14,4.43,2016,8,5.0,COM MEDICINE,4.38,4.88,CB,4.13,11.13,Graduate,02718,"LANGMEAD, CHRISTOPHER",4.38,4.5,Spring,12,4.38,4.13,4.5,2016
3,4.0,BIOIMAGE INFORMTCS,4.0,3.33,CB,3.67,7.0,Graduate,02740,"YANG, GE",4.33,4.67,Spring,5,4.33,5.0,3.67,2017,1,4.0,BIOIMAGE INFORMTCS,4.0,4.0,CB,3.0,11.0,Graduate,02740,"YANG, GE",5.0,5.0,Spring,2,5.0,4.0,4.0,2016,9,4.0,BIOIMAGE INFORMTCS,3.67,4.22,CB,3.8899999999999997,12.78,Graduate,02740,"YANG, GE",4.5,4.56,Spring,16,4.33,4.11,4.11,2015
26,3.52,AUTOMTN BIOLGL RESRC,2.92,3.38,CB,2.54,10.46,Graduate,02750,"LANGMEAD, CHRISTOPHER",3.12,3.42,Fall,39,3.3500000000000005,3.19,3.19,2017,44,4.16,AUTOMTN BIOLGL RESRC,3.77,4.23,CB,3.77,11.29,Graduate,02750,"LANGMEAD, CHRISTOPHER",4.02,4.05,Fall,79,4.11,4.14,3.93,2016,28,4.54,AUTOMTN BIOLGL RESRC,4.43,4.43,CB,4.57,13.820000000000002,Graduate,02750,"LANGMEAD, CHRISTOPHER",4.5,4.61,Fall,45,4.61,4.64,4.39,2015
6,4.0,LAB MTHDS COMP BIO,3.5,3.67,CB,4.17,9.8,Graduate,02760,"Ayoob, Joseph",4.67,4.83,Spring,8,4.0,4.17,4.0,2016,2,4.0,LAB MTHDS COMP BIO,3.5,3.5,CB,4.5,9.5,Graduate,02760,"THICKMAN, KAREN",5.0,5.0,Spring,6,4.5,4.0,4.5,2015,2,4.0,LAB MTHDS COMP BIO,3.5,3.5,CB,4.5,9.5,Graduate,02760,"Ayoob, Joseph",5.0,4.5,Spring,6,4.5,4.5,4.5,2015
