cnt,course_cmu_id,course_piazza_id,name,prof,term,course_id,stats_i_answers,stats_net_time,stats_posts,stats_questions,stats_response_time,stats_s_answers,top_user_0_answers,top_user_0_asks,top_user_0_days,top_user_0_posts,top_user_0_user_id,top_user_0_views,top_user_1_answers,top_user_1_asks,top_user_1_days,top_user_1_posts,top_user_1_user_id,top_user_1_views,top_user_2_answers,top_user_2_asks,top_user_2_days,top_user_2_posts,top_user_2_user_id,top_user_2_views
317,10703,ixqn73fyhhzzx,Deep Reinforcement Learning and Control,"Katerina Fragkiadaki, Russ Salakhutdinov",Spring 2017,ixqn73fyhhzzx,527.0,0,3050,635,7706.0,279,10.0,13.0,102.0,80.0,ie0a13unrb52q1,398.0,2.0,10.0,69.0,76.0,ijd6o0ol3jz65j,238.0,14.0,24.0,115.0,66.0,i4wvbi6p4w84ib,286.0
21,10703,jeal2xeypbb1ka,Deep Reinforcement Learning and Control,Georg Schoenherr,Summer 2018,jeal2xeypbb1ka,,0,5,5,,0,,,,,,,,,,,,,,,,,,
18,36-144,iy0si9yrpwi752,Winning with Statistics in Sports,Sam Ventura,Spring 2017,iy0si9yrpwi752,12.0,0,125,85,840.0,1,0.0,3.0,321.0,5.0,iprn5r4wha11jd,64.0,1.0,0.0,82.0,3.0,iprn5pqs6821i3,37.0,0.0,1.0,9.0,3.0,iprn4qrbzyijc,15.0
80,MCDS CLASS OF 2017/2018,j1dpusvymu572n,MCDS Class of 2017/2018,Majd F. Sakr,Summer 2017,j1dpusvymu572n,113.0,0,465,151,9678.0,22,0.0,5.0,265.0,16.0,j1dqhy755kw3dg,85.0,2.0,10.0,237.0,14.0,j1dqhwj4wp13ba,106.0,0.0,5.0,271.0,11.0,j1dqhsu7gkv37c,98.0
100,36-315,j6ceozytup11ux,M17-Statistical Graphics and Visualization,"Matey Neykov, Benjamin LeRoy, Jacqueline Liu, Emily Wang, Sameer Dhavalikar, Anna Wong, Lilian Chin, Tiffany Lee, Naveen Shankar",Fall 2017,j6ceozytup11ux,729.0,0,2070,552,288.0,33,0.0,129.0,124.0,189.0,ijaqw9hkd5b14r,543.0,1.0,27.0,154.0,50.0,idz68ehil3r5bh,327.0,0.0,25.0,184.0,44.0,hy5yqcrom1j15e,427.0
18,36-315,j2huf8frzlx1j2,M17-Statistical Graphics and Visualization,"Alden Green, Benjamin LeRoy",Summer 2017,j2huf8frzlx1j2,187.0,0,676,216,662.0,18,5.0,44.0,287.0,74.0,idz67gpmt823ad,171.0,0.0,9.0,299.0,38.0,iayotca255z101,110.0,0.0,10.0,83.0,34.0,idz691y6gwc5nj,128.0
10,M 17-09217,j2v4cd4d9vh6fj,M17-Organic Chemistry I,"Gloria Silva, Amna",Summer 2017,j2v4cd4d9vh6fj,10.0,0,32,20,18712.0,0,,,,,,,,,,,,,,,,,,
51,17 648,j3btnrdfb1q58h,Engineering Data Intensive Scalable Systems,Matt Bass,Summer 2017,j3btnrdfb1q58h,63.0,0,346,102,7726.0,30,1.0,7.0,27.0,23.0,isdjhjvw9ee6ag,87.0,6.0,6.0,238.0,18.0,j3btrpuzhw46nl,90.0,1.0,5.0,31.0,15.0,itbw53x33oc6mq,78.0
429,CIT 101,j3du1yacluj1wa,CIT 101: CIT Class of 2021,"Kai Hernandez, Treci Bonime, Cari Hartigan, Kimberly Lamberti, Jennifer Lott, Kourtney, Kurt Larsen, John Bailey Jr., Shahriyar Haider, Caroline Morin, Nisha Shukla, A Jacobson",Summer 2017,j3du1yacluj1wa,1.0,0,101,14,,0,,,,,,,,,,,,,,,,,,
29,18-643,j3rpm96igs9jq,"Reconfigurable Logic: Technology, Architecture and Applications",James C. Hoe,Fall 2017,j3rpm96igs9jq,95.0,0,387,95,1105.0,9,1.0,15.0,101.0,32.0,hw8wu3wmwx25en,78.0,0.0,11.0,186.0,25.0,j6tlja1ukhr6l,84.0,0.0,7.0,125.0,23.0,iy0vlwiu8yapv,71.0
